Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Sainsbury's My Goodness! Thai Green Chicken Curry & Rice 380g (Serves 1) | Sainsbury's,2.75,0,98,1.7,1,12.4,1.1,0.5,7.9,0.26
Sainsbury's Spaghetti Meatballs 400g (Serves 1) | Sainsbury's,2.5,0,116,3.8,1.3,13.3,3.1,1.5,6.1,0.41
Sainsbury's Mediterranean Vegetable Lasagne 400g (Serves 1) | Sainsbury's,2.5,0,87,2.8,0.8,11.7,4.1,1.1,3,0.54
Sainsbury's My Goodness! Creamy Coconut Fish Curry 380g (Serves 1) | Sainsbury's,3,0,98,1.9,1.4,14.2,1.4,1.1,5.3,0.4
Sainsbury's My Goodness! Chicken & Prawn Paella 380g (Serves 1) | Sainsbury's,3,0,113,2.2,0.5,14.2,1.7,1,8.5,0.37
Sainsbury's Thai Red Curry & Rice 400g (Serves 1) | Sainsbury's,3,0,158,5.9,2.4,18.2,1.9,1.4,7.2,0.47
Sainsbury's Tomato and Chilli Chicken 400g (Serves 1) | Sainsbury's,2.5,0,112,2.5,0.7,14.4,3.2,2.6,6.5,0.38
Sainsbury's Tomato & Mozzarella Pasta 400g (Serves 1) | Sainsbury's,2.5,0,119,3,1.2,16.1,3.8,3,5.1,0.38
Sainsbury's Laksa Chicken Noodle Bowl 360g (Serves 1) | Sainsbury's,2.75,0,93,2.3,1.2,11.2,3.1,1.5,6.1,0.42
Sainsbury's Love Your Veg! Sweet Potato Katsu Curry & Rice 400g (Serves 1) | Sainsbury's,3,0,147,5.2,1.1,21.7,5.3,2,2.2,0.19
Sainsbury's Egg Fried Rice 200g (Serves 1) | Sainsbury's,1.4,0,163,5.1,0.9,23.6,0.5,1.5,4.6,0.34
"Sainsbury's Aromatic Chicken Jalfrezi, Taste the Difference 400g (Serves 1) | Sainsbury's",3.5,0,116,4,0.5,11.7,2.6,1.9,7.3,0.41
"Sainsbury's Aromatic Royal Chicken Biryani, Taste the Difference 400g (Serves 1) | Sainsbury's",3.5,0,153,6.2,0.7,12.9,2.8,2.1,10.2,0.43
Sainsbury's Bolognese Melt 400g (Serves 1) | Sainsbury's,2.5,0,126,4.1,1.8,14,2.1,1.7,7.3,0.46
Sainsbury's Indian Vegetable Biryani 400g (Serves 1) | Sainsbury's,2.8,0,128,5.3,0.4,16.6,3.4,2.3,2.4,0.39
Sainsbury's Mushroom Risotto 350g (Serves 1) | Sainsbury's,2.5,0,103,2.3,0.7,15.1,1.2,2.9,4,0.39
Sainsbury's Indian Chicken Tikka Biryani 400g (Serves 1) | Sainsbury's,2.8,0,146,5,0.5,16.1,1.9,1.5,8.2,0.44
