Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Plant Chef Mushroom Cottage Pie 450G | Tesco,2.5,FALSE,91,2.7,0.9,11.6,1.7,4,3.2,0.5
Finest Chicken Parmigiana 450G | Tesco,6,FALSE,145,6.6,1.9,3.7,2.8,1.3,17,0.5
Finest Chicken & Chorizo Paella 700G | Tesco,6,FALSE,115,3.1,0.7,14.8,1.8,1.4,6.4,0.5
Crispy Sweet & Sour Chicken 350G | Tesco,3.5,FALSE,215,10.1,3.9,19.3,9.7,1,11.1,0.5
Finest Haddock Risotto 395G | Tesco,3.5,FALSE,104,2.2,1.2,15.1,1.1,1,5.6,0.4
Finest Pork Sausage Ragu With Pasta 400G | Tesco,3.5,FALSE,195,9.4,3.7,16.2,2.1,1.8,10.5,0.7
Sausage & Mash 400G | Tesco,2.5,FALSE,84,2,0.9,10.6,1.6,1.5,5.3,0.4
Finest Chicken Jalfrezi And Rice 450G | Tesco,3.5,FALSE,114,2.1,0.3,14.9,1.8,1,8.7,0.2
Spaghetti Carbonara 380G | Tesco,2.5,FALSE,89,1.3,0.7,13.4,1.6,1,5.4,0.5
Diet Spaghetti Bolognese 380G | Tesco,2.5,FALSE,95,2,0.8,12,2.1,1.6,6.5,0.3
Vegetable Tikka Masala With Rice 450G | Tesco,2.5,TRUE,113,4,1.3,15.3,2.9,2.6,2.9,0.4
Chicken & Bacon Pie 450G | Tesco,2.5,FALSE,113,4.2,2.1,10.9,0.9,0.8,7.4,0.4
Rice Pot Chicken And Chorizo Paella 330G | Tesco,1.75,FALSE,107,3,0.6,14.7,1.7,0.8,4.9,0.6
Chicken & Chorizo Pasta 450G | Tesco,2.5,FALSE,123,2.4,0.6,17.5,3.2,1.9,6.9,0.4
Finest Thai Green Chicken Curry & Coconut Jasmine Rice 410G | Tesco,3.5,FALSE,124,4,1.8,14.7,1.5,0.6,7,0.5
Finest Slow Cooked Beef Brisket Hash 400G | Tesco,3.5,FALSE,108,3.6,1.4,9.8,2.3,1.2,8.4,0.4
Finest Thai Red Chicken Curry & Coconut Jasmine Rice 440G | Tesco,3.5,FALSE,147,5.1,2.1,17.4,2.5,0.8,7.5,0.5
Finest King Prawn Chilli Noodles 400G | Tesco,3.5,FALSE,91,1.6,0.2,14.6,2.7,1.3,4.1,0.8
Salmon With Broccoli & Green Been 385G | Tesco,3,FALSE,78,2.1,0.8,7.2,1.5,1.3,6.9,0.1
Spicy Beef Chilli & Rice 450G | Tesco,2.5,FALSE,134,2.9,1.1,20.4,2.4,2.5,5.4,0.5
Beef Cannelloni 450G | Tesco,2.5,FALSE,140,6.8,2.9,10.8,2.6,1.3,8.3,0.3
Prawn Linguini 360G | Tesco,2.5,FALSE,95,1.1,0.5,15.9,1.3,1.1,4.8,0.4
Fish Pie 400G | Tesco,2.5,FALSE,81,2,1.2,11.4,1.4,0.9,3.9,0.3
Finest Beef Chianti & Rosemary Potatoes 450G | Tesco,3.5,FALSE,114,2.7,0.5,15.1,1.7,1.2,6.7,0.5
Meal For 1 Sweet & Sour Chicken Chinese Curry 550G | Tesco,2,FALSE,132,4.3,0.8,16.6,3.9,1.7,5.9,0.5
Chicken Low Calorie Roast Dinner 400G | Tesco,2.5,FALSE,72,0.8,0.2,7.2,2.1,1.8,8.1,0.2
